tdate[yyyy-mm-dd HH:MM:SS],time[seconds since 1970-01-01 00:00:00],conc_epi_min[g.m-3],conc_epi_max[g.m-3],conc_hypo_min[g.m-3],conc_hypo_max[g.m-3]
2025-06-01 12:00:00,1748779200.0,0.000e+00,0.000e+00,0.000e+00,0.000e+00
2025-06-02 12:00:00,1748865600.0,0.000e+00,0.000e+00,0.000e+00,0.000e+00
2025-06-03 12:00:00,1748952000.0,0.000e+00,0.000e+00,0.000e+00,0.000e+00
2025-06-04 12:00:00,1749038400.0,0.000e+00,0.000e+00,0.000e+00,0.000e+00
2025-06-05 12:00:00,1749124800.0,0.000e+00,0.000e+00,0.000e+00,0.000e+00
2025-06-06 12:00:00,1749211200.0,0.000e+00,0.000e+00,0.000e+00,0.000e+00
2025-06-07 12:00:00,1749297600.0,0.000e+00,0.000e+00,0.000e+00,0.000e+00
2025-06-08 12:00:00,1749384000.0,0.000e+00,0.000e+00,0.000e+00,0.000e+00
2025-06-09 12:00:00,1749470400.0,0.000e+00,0.000e+00,0.000e+00,0.000e+00
2025-06-10 12:00:00,1749556800.0,0.000e+00,0.000e+00,0.000e+00,0.000e+00
2025-06-11 12:00:00,1749643200.0,0.000e+00,0.000e+00,0.000e+00,0.000e+00
2025-06-12 12:00:00,1749729600.0,0.000e+00,0.000e+00,0.000e+00,0.000e+00
2025-06-13 12:00:00,1749816000.0,0.000e+00,0.000e+00,0.000e+00,0.000e+00
2025-06-14 12:00:00,1749902400.0,0.000e+00,0.000e+00,0.000e+00,0.000e+00
2025-06-15 12:00:00,1749988800.0,0.000e+00,0.000e+00,0.000e+00,0.000e+00
2025-06-16 12:00:00,1750075200.0,0.000e+00,0.000e+00,0.000e+00,0.000e+00
2025-06-17 12:00:00,1750161600.0,0.000e+00,0.000e+00,0.000e+00,0.000e+00
2025-06-18 12:00:00,1750248000.0,0.000e+00,0.000e+00,0.000e+00,0.000e+00
2025-06-19 12:00:00,1750334400.0,0.000e+00,0.000e+00,0.000e+00,0.000e+00
2025-06-20 12:00:00,1750420800.0,0.000e+00,0.000e+00,0.000e+00,0.000e+00
2025-06-21 12:00:00,1750507200.0,0.000e+00,0.000e+00,0.000e+00,0.000e+00
2025-06-22 12:00:00,1750593600.0,0.000e+00,0.000e+00,0.000e+00,0.000e+00
2025-06-23 12:00:00,1750680000.0,0.000e+00,0.000e+00,0.000e+00,0.000e+00
2025-06-24 12:00:00,1750766400.0,0.000e+00,0.000e+00,0.000e+00,0.000e+00
2025-06-25 12:00:00,1750852800.0,0.000e+00,0.000e+00,0.000e+00,0.000e+00
2025-06-26 12:00:00,1750939200.0,0.000e+00,0.000e+00,0.000e+00,0.000e+00
2025-06-27 12:00:00,1751025600.0,0.000e+00,0.000e+00,0.000e+00,0.000e+00
2025-06-28 12:00:00,1751112000.0,0.000e+00,0.000e+00,0.000e+00,0.000e+00
2025-06-29 12:00:00,1751198400.0,0.000e+00,0.000e+00,0.000e+00,0.000e+00
2025-06-30 12:00:00,1751284800.0,0.000e+00,0.000e+00,0.000e+00,0.000e+00
2025-07-01 12:00:00,1751371200.0,0.000e+00,0.000e+00,0.000e+00,0.000e+00
2025-07-02 12:00:00,1751457600.0,2.901e-08,2.901e-07,0.000e+00,0.000e+00
2025-07-03 12:00:00,1751544000.0,5.547e-08,5.547e-07,5.293e-10,5.293e-09
2025-07-04 12:00:00,1751630400.0,7.960e-08,7.960e-07,1.531e-09,1.531e-08
2025-07-05 12:00:00,1751716800.0,1.016e-07,1.016e-06,2.956e-09,2.956e-08
2025-07-06 12:00:00,1751803200.0,1.218e-07,1.218e-06,4.756e-09,4.756e-08
2025-07-07 12:00:00,1751889600.0,1.403e-07,1.403e-06,6.892e-09,6.892e-08
2025-07-08 12:00:00,1751976000.0,1.573e-07,1.573e-06,9.326e-09,9.326e-08
2025-07-09 12:00:00,1752062400.0,1.730e-07,1.730e-06,1.203e-08,1.203e-07
2025-07-10 12:00:00,1752148800.0,1.875e-07,1.875e-06,1.496e-08,1.496e-07
2025-07-11 12:00:00,1752235200.0,2.010e-07,2.010e-06,1.811e-08,1.811e-07
2025-07-12 12:00:00,1752321600.0,2.137e-07,2.137e-06,2.145e-08,2.145e-07
2025-07-13 12:00:00,1752408000.0,2.255e-07,2.255e-06,2.496e-08,2.496e-07
2025-07-14 12:00:00,1752494400.0,2.367e-07,2.367e-06,2.861e-08,2.861e-07
2025-07-15 12:00:00,1752580800.0,2.473e-07,2.473e-06,3.241e-08,3.241e-07
2025-07-16 12:00:00,1752667200.0,2.575e-07,2.575e-06,3.633e-08,3.633e-07
2025-07-17 12:00:00,1752753600.0,2.673e-07,2.673e-06,4.037e-08,4.037e-07
2025-07-18 12:00:00,1752840000.0,2.768e-07,2.768e-06,4.451e-08,4.451e-07
2025-07-19 12:00:00,1752926400.0,2.861e-07,2.861e-06,4.874e-08,4.874e-07
2025-07-20 12:00:00,1753012800.0,2.952e-07,2.952e-06,5.307e-08,5.307e-07
2025-07-21 12:00:00,1753099200.0,3.041e-07,3.041e-06,5.749e-08,5.749e-07
2025-07-22 12:00:00,1753185600.0,3.130e-07,3.130e-06,6.199e-08,6.199e-07
2025-07-23 12:00:00,1753272000.0,3.219e-07,3.219e-06,6.657e-08,6.657e-07
