tdate[yyyy-mm-dd HH:MM:SS],time[seconds since 1970-01-01 00:00:00],conc_epi_min[g.m-3],conc_epi_max[g.m-3],conc_hypo_min[g.m-3],conc_hypo_max[g.m-3]
2025-06-01 12:00:00,1748779200.0,0.000e+00,0.000e+00,0.000e+00,0.000e+00
2025-06-02 12:00:00,1748865600.0,0.000e+00,0.000e+00,0.000e+00,0.000e+00
2025-06-03 12:00:00,1748952000.0,0.000e+00,0.000e+00,0.000e+00,0.000e+00
2025-06-04 12:00:00,1749038400.0,0.000e+00,0.000e+00,0.000e+00,0.000e+00
2025-06-05 12:00:00,1749124800.0,0.000e+00,0.000e+00,0.000e+00,0.000e+00
2025-06-06 12:00:00,1749211200.0,0.000e+00,0.000e+00,0.000e+00,0.000e+00
2025-06-07 12:00:00,1749297600.0,0.000e+00,0.000e+00,0.000e+00,0.000e+00
2025-06-08 12:00:00,1749384000.0,0.000e+00,0.000e+00,0.000e+00,0.000e+00
2025-06-09 12:00:00,1749470400.0,0.000e+00,0.000e+00,0.000e+00,0.000e+00
2025-06-10 12:00:00,1749556800.0,0.000e+00,0.000e+00,0.000e+00,0.000e+00
2025-06-11 12:00:00,1749643200.0,0.000e+00,0.000e+00,0.000e+00,0.000e+00
2025-06-12 12:00:00,1749729600.0,0.000e+00,0.000e+00,0.000e+00,0.000e+00
2025-06-13 12:00:00,1749816000.0,0.000e+00,0.000e+00,0.000e+00,0.000e+00
2025-06-14 12:00:00,1749902400.0,0.000e+00,0.000e+00,0.000e+00,0.000e+00
2025-06-15 12:00:00,1749988800.0,0.000e+00,0.000e+00,0.000e+00,0.000e+00
2025-06-16 12:00:00,1750075200.0,0.000e+00,0.000e+00,0.000e+00,0.000e+00
2025-06-17 12:00:00,1750161600.0,0.000e+00,0.000e+00,0.000e+00,0.000e+00
2025-06-18 12:00:00,1750248000.0,0.000e+00,0.000e+00,0.000e+00,0.000e+00
2025-06-19 12:00:00,1750334400.0,0.000e+00,0.000e+00,0.000e+00,0.000e+00
2025-06-20 12:00:00,1750420800.0,0.000e+00,0.000e+00,0.000e+00,0.000e+00
2025-06-21 12:00:00,1750507200.0,0.000e+00,0.000e+00,0.000e+00,0.000e+00
2025-06-22 12:00:00,1750593600.0,0.000e+00,0.000e+00,0.000e+00,0.000e+00
2025-06-23 12:00:00,1750680000.0,0.000e+00,0.000e+00,0.000e+00,0.000e+00
2025-06-24 12:00:00,1750766400.0,0.000e+00,0.000e+00,0.000e+00,0.000e+00
2025-06-25 12:00:00,1750852800.0,0.000e+00,0.000e+00,0.000e+00,0.000e+00
2025-06-26 12:00:00,1750939200.0,0.000e+00,0.000e+00,0.000e+00,0.000e+00
2025-06-27 12:00:00,1751025600.0,0.000e+00,0.000e+00,0.000e+00,0.000e+00
2025-06-28 12:00:00,1751112000.0,0.000e+00,0.000e+00,0.000e+00,0.000e+00
2025-06-29 12:00:00,1751198400.0,0.000e+00,0.000e+00,0.000e+00,0.000e+00
2025-06-30 12:00:00,1751284800.0,0.000e+00,0.000e+00,0.000e+00,0.000e+00
2025-07-01 12:00:00,1751371200.0,0.000e+00,0.000e+00,0.000e+00,0.000e+00
2025-07-02 12:00:00,1751457600.0,2.901e-08,2.901e-07,0.000e+00,0.000e+00
2025-07-03 12:00:00,1751544000.0,5.722e-08,5.722e-07,5.293e-10,5.293e-09
2025-07-04 12:00:00,1751630400.0,8.468e-08,8.468e-07,1.564e-09,1.564e-08
2025-07-05 12:00:00,1751716800.0,1.114e-07,1.114e-06,3.080e-09,3.080e-08
2025-07-06 12:00:00,1751803200.0,1.375e-07,1.375e-06,5.056e-09,5.056e-08
2025-07-07 12:00:00,1751889600.0,1.629e-07,1.629e-06,7.472e-09,7.472e-08
2025-07-08 12:00:00,1751976000.0,1.877e-07,1.877e-06,1.031e-08,1.031e-07
2025-07-09 12:00:00,1752062400.0,2.120e-07,2.120e-06,1.354e-08,1.354e-07
2025-07-10 12:00:00,1752148800.0,2.357e-07,2.357e-06,1.717e-08,1.717e-07
2025-07-11 12:00:00,1752235200.0,2.590e-07,2.590e-06,2.115e-08,2.115e-07
2025-07-12 12:00:00,1752321600.0,2.817e-07,2.817e-06,2.549e-08,2.549e-07
2025-07-13 12:00:00,1752408000.0,3.040e-07,3.040e-06,3.017e-08,3.017e-07
2025-07-14 12:00:00,1752494400.0,3.259e-07,3.259e-06,3.516e-08,3.516e-07
2025-07-15 12:00:00,1752580800.0,3.475e-07,3.475e-06,4.047e-08,4.047e-07
2025-07-16 12:00:00,1752667200.0,3.686e-07,3.686e-06,4.607e-08,4.607e-07
2025-07-17 12:00:00,1752753600.0,3.894e-07,3.894e-06,5.195e-08,5.195e-07
2025-07-18 12:00:00,1752840000.0,4.100e-07,4.100e-06,5.811e-08,5.811e-07
2025-07-19 12:00:00,1752926400.0,4.302e-07,4.302e-06,6.453e-08,6.453e-07
2025-07-20 12:00:00,1753012800.0,4.501e-07,4.501e-06,7.120e-08,7.120e-07
2025-07-21 12:00:00,1753099200.0,4.698e-07,4.698e-06,7.811e-08,7.811e-07
2025-07-22 12:00:00,1753185600.0,4.893e-07,4.893e-06,8.526e-08,8.526e-07
2025-07-23 12:00:00,1753272000.0,5.086e-07,5.086e-06,9.263e-08,9.263e-07
